Societe;Facture;Date d'echeance;Montant du;Montant total;Client;Document d'origine
Quincaillerie de La Mer;FAC/2021/2144;2021-02-25;1437500.01;1437500.01;ENAC;VQLM53992
Cheinmalt distribution;FAC/2021/1099;2021-02-25;1963440.0;1963440.0;GUILMANN;VCHD15466
Cheinmalt distribution;FAC/2021/1097;2021-02-25;146340.0;146340.0;TECHNIFROID MADAGASCAR;VCHD15480
Quincaillerie de La Mer;FAC/2021/2136;2021-02-25;600000.24;600000.24;FIHAONANA;VQLM53985
Cheinmalt distribution;FAC/2021/1095;2021-02-25;5057078.4;5057078.4;QUINCAILLERIE ARENA;VCHD15455
Cheinmalt distribution;FAC/2021/1094;2021-02-25;16740.0;16740.0;EPSILON;VCHD15448
Cheinmalt distribution;FAC/2021/1093;2021-02-25;1195776.0;1195776.0;LA COLOMBE;VCHD15477
Cheinmalt distribution;FAC/2021/1091;2021-02-25;241947.0;241947.0;SERTEX S.A.R.L;VCHD15470
Cheinmalt distribution;FAC/2021/1090;2021-02-24;1982772.0;1982772.0;MOURTAZA VALIBHAY;VCHD15467
Cheinmalt distribution;FAC/2021/1089;2021-02-24;27159000.0;27159000.0;TRANOMBAROTRA  MALAZA;VCHD15475
Cheinmalt distribution;FAC/2021/1085;2021-02-24;5811436.8;5811436.8;QUINCAILLERIE ALMAZ;VCHD15465
Cheinmalt distribution;FAC/2021/1086;2021-02-24;2548153.73;2548153.73;LA COLOMBE;VCHD15469
Quincaillerie de La Mer;FAC/2021/2128;2021-02-24;17760000.0;17760000.0;ENTREPRISE KOZE KOZE;VQLM53971
Reflet de l'ile;FAC/2021/0237;2021-02-24;447959.88;447959.88;TRANOMBAROTRA MANJA;VRFI7253
Cheinmalt distribution;FAC/2021/1083;2021-02-24;270432.0;270432.0;NIVO RAKOTO;VCHD15471
Cheinmalt distribution;FAC/2021/1082;2021-02-24;2406240.0;2406240.0;ZOUZOU TSARA MANDRY;VCHD15468
Quincaillerie de La Mer;FAC/2021/2126;2021-02-24;1267200.0;1267200.0;LE JARDIN DE FANIRY;VQLM53965
Cheinmalt distribution;FAC/2021/1077;2021-02-24;831600.0;831600.0;TECHMARINE;VCHD15437
Cheinmalt distribution;FAC/2021/1075;2021-02-24;333675.0;333675.0;Société Travaux Batiment ( STB );VCHD15442
Quincaillerie de La Mer;FAC/2021/2118;2021-02-24;68000.02;68000.02;EMCG SARLU;VQLM53954
Quincaillerie de La Mer;FAC/2021/2117;2021-02-24;117999.31;117999.31;EMCG SARLU;VQLM53956
Cheinmalt distribution;FAC/2021/1074;2021-02-24;793152.0;793152.0;QUINCAILLERIE HOUSSENI ;VCHD15438
Cheinmalt distribution;FAC/2021/1073;2021-02-24;269100.0;269100.0;TROPICAL WOOD;VCHD15453
Cheinmalt distribution;FAC/2021/1071;2021-02-24;153900.0;153900.0;TRANOMBAROTRA SOA VY;VCHD15458
Cheinmalt distribution;FAC/2021/1072;2021-02-24;1502409.6;1502409.6;MANDROSO;VCHD15432
Cheinmalt distribution;FAC/2021/1070;2021-02-24;119016.0;119016.0;PHARMADIFF;VCHD15457
Cheinmalt distribution;FAC/2021/1069;2021-02-24;421200.0;421200.0;PROFILS PARTITIONS MADAGASCAR;VCHD15452
Cheinmalt distribution;FAC/2021/1068;2021-02-24;607500.0;607500.0;VIMA SERV SARL;VCHD15456
Cheinmalt distribution;FAC/2021/1067;2021-02-24;157608.0;157608.0;BURO SERVICE;VCHD15421
Quincaillerie de La Mer;FAC/2021/2110;2021-02-24;300000.0;300000.0;TROPICAL BOAT;VQLM53947
Cheinmalt distribution;FAC/2021/1066;2021-02-24;296524.8;296524.8;HATIMY SHOP;VCHD15451
Cheinmalt distribution;FAC/2021/1058;2021-02-24;21330.0;21330.0;CHEINMALT MAISON;VCHD15436
Cheinmalt distribution;FAC/2021/1062;2021-02-24;575424.0;575424.0;QUINCAILLERIE HOUSSENI ;VCHD15446
Cheinmalt distribution;FAC/2021/1065;2021-02-24;244.8;244.8;TRANOMBAROTRA VAOVAO YOUSSOUF;VCHD15450
Cheinmalt distribution;FAC/2021/1063;2021-02-24;5662899.0;5662899.0;MOURTAZA VALIBHAY;VCHD15389
Cheinmalt distribution;FAC/2021/1064;2021-02-24;513945.0;513945.0;MOURTAZA VALIBHAY;VCHD15447
Quincaillerie de La Mer;FAC/2021/2104;2021-02-24;24000.0;24000.0;RAKOTO;VQLM53942
Quincaillerie de La Mer;FAC/2021/2101;2021-02-24;885000.02;885000.02;OSO FARMING LES GAMBAS DE L'ANKARANA;VQLM52610
Quincaillerie de La Mer;FAC/2021/2100;2021-02-24;144000.0;144000.0;RAKOTO;VQLM53939
Quincaillerie de La Mer;FAC/2021/2098;2021-02-24;225000.0;225000.0;RAKOTO;VQLM53937
Cheinmalt distribution;FAC/2021/1059;2021-02-24;136800.0;136800.0;TROPICAL WOOD;VCHD15441
Cheinmalt distribution;FAC/2021/1002;2021-02-20;33048.0;978048.0;MAISON SARAH;VCHD15350
Quincaillerie de La Mer;FAC/2021/2095;2021-02-24;1750140.0;1750140.0;ZOUZOU TSARA MANDRY;VQLM53932
Cheinmalt distribution;FAC/2021/1057;2021-02-24;3499200.0;3499200.0;TRANOMBAROTRA MOISE I RASSAY;VCHD15435
Quincaillerie de La Mer;FAC/2021/2036;2021-02-23;100528.04;100528.04;SALAMA*;VQLM53885
Cheinmalt distribution;FAC/2021/1055;2021-02-23;6642907.2;6642907.2;ZOUZOU TSARA MANDRY;VCHD15433
Quincaillerie de La Mer;FAC/2020/6548;2020-05-16;1242000.0;1242000.0;BRICO KOYTCHA;VQLM40592
Cheinmalt distribution;FAC/2021/1053;2021-02-23;1565913.6;1565913.6;QUINCAILLERIE SOA;VCHD15427
Cheinmalt distribution;FAC/2021/1051;2021-02-23;939600.0;939600.0;TRANOMBAROTRA SOA VY;VCHD15429
Cheinmalt distribution;FAC/2021/1050;2021-02-23;502722.0;502722.0;LA COLOMBE;VCHD15426
Cheinmalt distribution;FAC/2021/1048;2021-02-23;12412310.4;12412310.4;TRANOMBAROTRA VAOVAO YOUSSOUF;VCHD15424
Cheinmalt distribution;FAC/2021/1047;2021-02-23;1385121.6;1385121.6;ESPACE HITECH SARL;VCHD15263
Cheinmalt distribution;FAC/2020/2671;2020-06-25;1790543.23;1790543.23;PHARMACIE ANTANIMENA;VCHD10531
Cheinmalt distribution;FAC/2019/1330;2019-04-17;5688000.0;11376000.0;NOSTRA Sarl;VCHD4182
Cheinmalt distribution;FAC/2021/0782;2021-02-10;167248970.08;260451960.0;Société Travaux Batiment ( STB );VCHD15131
Quincaillerie de La Mer;FAC/2021/2066;2021-02-23;890544.0;890544.0;TRANOMBAROTRA SOA VY;VQLM53907
Cheinmalt distribution;FAC/2021/1042;2021-02-23;616896.0;616896.0;MANDROSO;VCHD15413
Cheinmalt distribution;FAC/2021/1044;2021-02-23;37991590.56;37991590.56;VIMA SERV SARL;VCHD15420
Cheinmalt distribution;FAC/2021/1039;2021-02-23;1761750.0;1761750.0;MOURTAZA VALIBHAY;VCHD15343
Cheinmalt distribution;FAC/2021/1040;2021-02-23;186038.96;186038.96;MOURTAZA VALIBHAY;VCHD15419
Cheinmalt distribution;FAC/2021/1041;2021-02-23;1272844.8;1272844.8;SOCIETE  TSARAHAZO SARL;VCHD15414
Quincaillerie de La Mer;FAC/2020/11245;2020-08-19;0.02;1097000.02;HOME MADAGASCAR CONSTRUCTION;VQLM45223
Cheinmalt distribution;FAC/2021/1038;2021-02-23;107282003.88;107282003.88;FATEALY DIEGO;VCHD15418
Cheinmalt distribution;FAC/2021/0591;2021-02-02;502200.0;502200.0;TAHA YNAYTHOUSSEN;VCHD14958
Cheinmalt distribution;FAC/2021/1036;2021-02-23;419040.0;419040.0;QUINCAILLERIE SOA;VCHD15416
Cheinmalt distribution;FAC/2021/1037;2021-02-23;601425.0;601425.0;TRANOMBAROTRA SOA VY;VCHD15417
Cheinmalt distribution;FAC/2021/1035;2021-02-23;428457.6;428457.6;ZOUZOU TSARA MANDRY;VCHD15415
Quincaillerie de La Mer;FAC/2021/2031;2021-02-23;5750460.0;5750460.0;TRANOMBAROTRA VAOVAO YOUSSOUF;VQLM53840
Quincaillerie de La Mer;FAC/2021/0788;2021-01-22;13000.02;80600.02;FONTAINE DOMINIQUE;VQLM52557
Quincaillerie de La Mer;FAC/2021/1932;2021-02-19;105399.02;105399.02;BHAIDJY Mourtouza;VQLM53571
Cheinmalt distribution;FAC/2021/1033;2021-02-22;1069986.24;1069986.24;QUINCAILLERIE ALMAZ;VCHD15405
Cheinmalt distribution;FAC/2021/1032;2021-02-22;289941.12;289941.12;LA COLOMBE;VCHD15400
Cheinmalt distribution;FAC/2021/1030;2021-02-22;2307139.2;2307139.2;ZOUZOU TSARA MANDRY;VCHD15408
Cheinmalt distribution;FAC/2021/1029;2021-02-22;227232.0;227232.0;OSHWAL TRADE;VCHD15402
Cheinmalt distribution;FAC/2021/1028;2021-02-22;1001376.0;1001376.0;ZOUZOU TSARA MANDRY;VCHD15404
Quincaillerie de La Mer;FAC/2021/2010;2021-02-22;80000.02;80000.02;SALAMA*;VQLM53863
Quincaillerie de La Mer;FAC/2021/2008;2021-02-22;1050000.0;1050000.0;SALAMA*;VQLM53856
Quincaillerie de La Mer;FAC/2021/2006;2021-02-22;2625000.3;2625000.3;SALAMA*;VQLM53832
Cheinmalt distribution;FAC/2021/0994;2021-02-20;126900.0;126900.0;AUGIAS MADAGASCAR;VCHD15327
Cheinmalt distribution;FAC/2021/1027;2021-02-22;3031257.6;3031257.6;SOCIETE  TSARAHAZO SARL;VCHD15398
Cheinmalt distribution;FAC/2021/1010;2021-02-22;5880314.88;5880314.88;TRANOMBAROTRA VAOVAO YOUSSOUF;VCHD15302
Cheinmalt distribution;FAC/2021/1012;2021-02-22;3751183.79;3751183.79;TRANOMBAROTRA VAOVAO YOUSSOUF;VCHD15303
Cheinmalt distribution;FAC/2021/1013;2021-02-22;11757139.2;11757139.2;TRANOMBAROTRA VAOVAO YOUSSOUF;VCHD15310
Cheinmalt distribution;FAC/2021/1016;2021-02-22;4738521.6;4738521.6;TRANOMBAROTRA VAOVAO YOUSSOUF;VCHD15311
Cheinmalt distribution;FAC/2021/1017;2021-02-22;5068137.6;5068137.6;TRANOMBAROTRA VAOVAO YOUSSOUF;VCHD15312
Cheinmalt distribution;FAC/2021/1020;2021-02-22;5739183.36;5739183.36;TRANOMBAROTRA VAOVAO YOUSSOUF;VCHD15314
Cheinmalt distribution;FAC/2021/1021;2021-02-22;3997877.76;3997877.76;TRANOMBAROTRA VAOVAO YOUSSOUF;VCHD15308
Cheinmalt distribution;FAC/2021/1022;2021-02-22;10449138.6;10449138.6;FIBASOM;VCHD15271
Cheinmalt distribution;FAC/2021/1018;2021-02-22;1514764.8;1514764.8;MAGASIN SOAFENO;VCHD15391
Cheinmalt distribution;FAC/2021/1025;2021-02-22;262440.0;262440.0;TRANOMBAROTRA SOA VY;VCHD15397
Cheinmalt distribution;FAC/2021/1026;2021-02-22;1242432.0;1242432.0;MANDROSO;VCHD15395
Cheinmalt distribution;FAC/2021/1024;2021-02-22;1879200.0;1879200.0;ZOUZOU TSARA MANDRY;VCHD15392
Cheinmalt distribution;FAC/2021/1019;2021-02-22;148770.0;148770.0;PHARMADIFF;VCHD15390
Cheinmalt distribution;FAC/2021/1023;2021-02-22;14310000.0;14310000.0;Société Travaux Batiment ( STB );VCHD15394
Cheinmalt distribution;FAC/2021/0426;2021-01-26;2200176.0;2200176.0;HSX SARL;VCHD14788
Cheinmalt distribution;FAC/2021/1015;2021-02-22;90013.54;90013.54;TSIRY SOUDEUR;VCHD15393
Quincaillerie de La Mer;FAC/2021/1988;2021-02-22;60000.01;60000.01;SALAMA*;VQLM53843
Cheinmalt distribution;FAC/2021/1014;2021-02-22;6996756.24;6996756.24;Quincaillerie de La Mer;VCHD15371
Cheinmalt distribution;FAC/2021/0520;2021-01-29;26495735.04;26495735.04;MOURTAZA VALIBHAY;VCHD14892
Quincaillerie de La Mer;FAC/2021/1975;2021-02-22;14310.0;14310.0;BHAIDJY Mourtouza;VQLM53760
Quincaillerie de La Mer;FAC/2021/1974;2021-02-22;300000.24;300000.24;HOME MADAGASCAR CONSTRUCTION;VQLM53826
Cheinmalt distribution;FAC/2021/1009;2021-02-22;820287.0;820287.0;MOURTAZA VALIBHAY;VCHD15388
Quincaillerie de La Mer;FAC/2021/1965;2021-02-22;10602000.0;10602000.0;SALAMA*;VQLM53817
Quincaillerie de La Mer;FAC/2021/1964;2021-02-22;22000.01;22000.01;BHAIDJY Mourtouza;VQLM53816
Quincaillerie de La Mer;FAC/2021/1962;2021-02-22;74400.0;74400.0;MORAVIDY;VQLM53813
Quincaillerie de La Mer;FAC/2021/1958;2021-02-20;4190735.23;4190735.23;IMEX ( SERGE PAWAN);VQLM53808
Cheinmalt distribution;FAC/2021/1008;2021-02-20;768960.0;768960.0;QUINCAILLERIE ALMAZ;VCHD15387
Quincaillerie de La Mer;FAC/2021/1957;2021-02-20;70000.01;70000.01;DIDIER BUET;VQLM53809
Cheinmalt distribution;FAC/2021/1006;2021-02-20;978680.7;978680.7;MOURTAZA VALIBHAY;VCHD15384
Cheinmalt distribution;FAC/2021/1007;2021-02-20;235008.0;235008.0;QUINCAILLERIE ALMAZ;VCHD15376
Cheinmalt distribution;FAC/2021/1005;2021-02-20;2104988.26;2104988.26;HATIMY SHOP;VCHD15381
Cheinmalt distribution;FAC/2020/0867;2020-02-19;12020.64;329118.55;ZOUZOU TSARA MANDRY;VCHD8737
Cheinmalt distribution;FAC/2021/1000;2021-02-20;2688580.8;2688580.8;QUINCAILLERIE MINESH FIANARANTSOA;VCHD15382
Cheinmalt distribution;FAC/2021/0999;2021-02-20;6546330.9;6546330.9;FIBASOM;VCHD15372
Cheinmalt distribution;FAC/2021/1003;2021-02-20;92448.0;92448.0;ADAMALY RASOLOFO NASSIR;VCHD15380
Cheinmalt distribution;FAC/2021/1004;2021-02-20;11402807.4;11402807.4;TRANOMBAROTRA SOA VY;VCHD15385
Cheinmalt distribution;FAC/2021/0995;2021-02-20;118713.6;118713.6;ESPACE ELECTRONIQUE;VCHD15378
Cheinmalt distribution;FAC/2021/0996;2021-02-20;440640.0;440640.0;QUINCAILLERIE SOA;VCHD15379
Cheinmalt distribution;FAC/2021/0997;2021-02-20;2522286.0;2522286.0;FIBASOM;VCHD15341
Cheinmalt distribution;FAC/2021/0998;2021-02-20;2211183.36;2211183.36;HATIMY SHOP;VCHD15356
Cheinmalt distribution;FAC/2020/1589;2020-04-11;3912.6;921375.0;ZOUZOU TSARA MANDRY;VCHD9446
Quincaillerie de La Mer;FAC/2021/1946;2021-02-20;3240.0;3240.0;BHAIDJY Mourtouza;VQLM53796
Cheinmalt distribution;FAC/2021/0983;2021-02-19;4834235.52;4834235.52;ADAMALY RASOLOFO NASSIR;VCHD15340
Cheinmalt distribution;FAC/2021/0993;2021-02-20;3467491.2;3467491.2;SALAMA*;VCHD15329
Quincaillerie de La Mer;FAC/2021/1941;2021-02-20;170000.0;170000.0;E.M.I.T (Entreprise de Maintenance Industrielle et du Transport);VQLM53789
Cheinmalt distribution;FAC/2021/0992;2021-02-20;3102744.96;3102744.96;ZOUZOU TSARA MANDRY;VCHD15328
Cheinmalt distribution;FAC/2021/0988;2021-02-20;5710000.26;5710000.26;FIBAFER;VCHD15367
Cheinmalt distribution;FAC/2021/0991;2021-02-20;172450.0;172450.0;SOGEA SATOM MADAGASCAR;VCHD15272
Cheinmalt distribution;FAC/2021/0990;2021-02-20;80870.4;80870.4;QUINCAILLERIE ALMAZ;VCHD15375
Cheinmalt distribution;FAC/2020/1503;2020-03-31;44400000.0;100800000.0;TRANOMBAROTRA VAOVAO YOUSSOUF;VCHD9371
Cheinmalt distribution;FAC/2021/0987;2021-02-20;31926988.8;31926988.8;ABC IVANDRY;VCHD15370
Cheinmalt distribution;FAC/2021/0986;2021-02-20;1549800.0;1549800.0;IMEX ( SERGE PAWAN);VCHD15373
Cheinmalt distribution;FAC/2021/0984;2021-02-19;575424.0;575424.0;BROOKESIA;VCHD15369
Cheinmalt distribution;FAC/2021/0863;2021-02-13;517408.2;517408.2;SALAMA*;VCHD15227
Cheinmalt distribution;FAC/2021/0514;2021-01-29;36000.0;36000.0;MAISON SALMA;VCHD14882
Cheinmalt distribution;FAC/2021/0440;2021-01-26;1043161.22;1043161.22;MAISON SALMA;VCHD14804
Quincaillerie de La Mer;FAC/2021/1931;2021-02-19;58240.02;58240.02;BHAIDJY Mourtouza;VQLM51754
Cheinmalt distribution;FAC/2021/0977;2021-02-19;20217.6;20217.6;QUINCAILLERIE ALMAZ;VCHD15365
Quincaillerie de La Mer;FAC/2021/1928;2021-02-19;163000.0;163000.0;QUINCAILLERIE HOUSSENI ;VQLM53611
Cheinmalt distribution;FAC/2021/0974;2021-02-19;3189473.28;3189473.28;HASSAN LAVOIR;VCHD15362
Cheinmalt distribution;FAC/2021/0973;2021-02-19;567000.0;567000.0;TECHMARINE;VCHD15358
Quincaillerie de La Mer;FAC/2021/1922;2021-02-19;22000.01;22000.01;BHAIDJY Mourtouza;VQLM53774
Cheinmalt distribution;FAC/2021/0971;2021-02-19;1212570.0;1212570.0;TRANOMBAROTRA SOA VY;VCHD15360
Codigaz sarl;FAC/2021/0076;2021-02-12;830000.03;1960000.03;MAISON SARAH;VCDG2241
Quincaillerie de La Mer;FAC/2021/1920;2021-02-19;1480896.0;1480896.0;MANDROSO;VQLM53772
Cheinmalt distribution;FAC/2021/0970;2021-02-19;998273.76;998273.76;MANDROSO;VCHD15349
Cheinmalt distribution;FAC/2021/0969;2021-02-19;14345293.13;14345293.13;ABC IVANDRY;VCHD15359
Cheinmalt distribution;FAC/2021/0966;2021-02-19;2578089.6;2578089.6;LA COLOMBE;VCHD15355
Quincaillerie de La Mer;FAC/2021/1913;2021-02-19;349999.99;349999.99;DIDIER BUET;VQLM53768
Codigaz sarl;FAC/2021/0084;2021-02-19;19860001.2;19860001.2;STATION SHELL;VCDG2251
Quincaillerie de La Mer;FAC/2021/1909;2021-02-19;1872000.0;1872000.0;MASOANDRONAVARATRA;VQLM53763
Cheinmalt distribution;FAC/2021/0963;2021-02-19;546652.8;546652.8;QUINCAILLERIE ALMAZ;VCHD15337
Cheinmalt distribution;FAC/2021/0961;2021-02-19;515727.0;515727.0;MOURTAZA VALIBHAY;VCHD15333
Cheinmalt distribution;FAC/2021/0960;2021-02-19;1088559.0;1088559.0;MOURTAZA VALIBHAY;VCHD15324
Cheinmalt distribution;FAC/2021/0958;2021-02-19;9466792.08;9466792.08;Quincaillerie de La Mer;VCHD15347
Quincaillerie de La Mer;FAC/2021/1904;2021-02-19;3600001.44;3600001.44;SIGARA;VQLM53757
Cheinmalt distribution;FAC/2021/0957;2021-02-19;23670.0;23670.0;TETRAFOR;VCHD15348
Cheinmalt distribution;FAC/2021/0632;2021-02-03;0.44;1200349.4;TRANOMBAROTRA JMC (BAYA);VCHD15004
Quincaillerie de La Mer;FAC/2021/1901;2021-02-19;40200.05;40200.05;LEONG BTP ;VQLM53751
Cheinmalt distribution;FAC/2021/0955;2021-02-19;14361993.12;14361993.12;ABC IVANDRY;VCHD15346
Quincaillerie de La Mer;FAC/2021/1895;2021-02-19;14500002.0;14500002.0;LEONG BTP ;VQLM53731
Cheinmalt distribution;FAC/2021/0954;2021-02-19;2950236.0;2950236.0;SOMAPRO SARLU;VCHD15338
Cheinmalt distribution;FAC/2021/0953;2021-02-19;21870.0;21870.0;CHANTIER TANA 10M2;VCHD15342
Cheinmalt distribution;FAC/2021/0952;2021-02-18;7275582.0;7275582.0;MACLAI CONSTRUCTION;VCHD15345
Cheinmalt distribution;FAC/2021/0919;2021-02-17;6037743.07;6037743.07;MAISON ABASSE;VCHD15288
Codigaz sarl;FAC/2021/0083;2021-02-18;7350000.12;7350000.12;Quincaillerie de La Mer;VCDG2249
Quincaillerie de La Mer;FAC/2021/1880;2021-02-18;23345.04;23345.04;BHAIDJY Mourtouza;VQLM53560
Quincaillerie de La Mer;FAC/2021/1879;2021-02-18;46990.01;46990.01;BHAIDJY Mourtouza;VQLM51914
Cheinmalt distribution;FAC/2021/0949;2021-02-18;942451.2;942451.2;TRANOMBAROTRA MOISE I RASSAY;VCHD15335
Cheinmalt distribution;FAC/2021/0948;2021-02-18;1918080.0;1918080.0;FATIMABAY AKBARALY;VCHD15070
Cheinmalt distribution;FAC/2021/0946;2021-02-18;7630610.4;7630610.4;VIMA SERV SARL;VCHD15334
Quincaillerie de La Mer;FAC/2021/1876;2021-02-18;34850000.4;34850000.4;FAKROU NOURBHAY;VQLM53732
Cheinmalt distribution;FAC/2021/0945;2021-02-18;66987.0;66987.0;TRANOMBAROTRA SOA VY;VCHD15331
Cheinmalt distribution;FAC/2021/0944;2021-02-18;125640.0;125640.0;TAZ SARLU;VCHD15332
Cheinmalt distribution;FAC/2021/0943;2021-02-18;340200.0;340200.0;TRANOMBAROTRA SOA VY;VCHD15301
Cheinmalt distribution;FAC/2021/0940;2021-02-18;46332.0;46332.0;FIBASOM;VCHD15298
Cheinmalt distribution;FAC/2021/0941;2021-02-18;1732087.8;1732087.8;FIBASOM;VCHD15300
Cheinmalt distribution;FAC/2021/0942;2021-02-18;106992554.4;106992554.4;GASY AVENIR COMPANY SARLU;VCHD15325
Cheinmalt distribution;FAC/2021/0939;2021-02-18;15552000.0;15552000.0;ABC IVANDRY;VCHD15322
Cheinmalt distribution;FAC/2021/0938;2021-02-18;8296000.32;8296000.32;HASSAN LAVOIR;VCHD15317
Cheinmalt distribution;FAC/2021/0937;2021-02-18;45360.0;45360.0; ANNY SARL;VCHD15282
Cheinmalt distribution;FAC/2021/0930;2021-02-18;15915960.0;15915960.0;SIDEROS;VCHD15319
Quincaillerie de La Mer;FAC/2021/1867;2021-02-18;747000.0;747000.0;SNIT STE NOSIBEENNE;VQLM53721
Cheinmalt distribution;FAC/2021/0932;2021-02-18;668476.8;668476.8;ESPACE ELECTRONIQUE;VCHD15199
Cheinmalt distribution;FAC/2021/0933;2021-02-18;120096.0;120096.0;MANDROSO;VCHD15304
Cheinmalt distribution;FAC/2021/0935;2021-02-18;510219.0;510219.0;FIBASOM;VCHD15299
